ID,Lemma,Complement,BirthYear,DeathYear,URL,UncertaintyBirth,UncertaintyDeath
6017,Attiger-Suter,Jeanette,1938 - 1987,,http://hls-dhs-dss.ch/de/articles/006017/2001-10-15/,,
22642,Siegenthaler,Albert,1938 - 1984,,http://hls-dhs-dss.ch/de/articles/022642/2010-10-04/,,
44418,Wüthrich,Kurt,1938 -,,http://hls-dhs-dss.ch/de/articles/044418/2020-08-17/,,
62108,Valceschini,Liliane,1937 - 2019,,http://hls-dhs-dss.ch/de/articles/062108/2024-11-27/,,
58046,Deneys,Heidi,1937 - 2014,,http://hls-dhs-dss.ch/de/articles/058046/2019-06-12/,,
43222,Speck,Christian,1937 - 2005,,http://hls-dhs-dss.ch/de/articles/043222/2012-02-13/,,
48775,Schaub,Martin,1937 - 2003,,http://hls-dhs-dss.ch/de/articles/048775/2011-07-12/,,
29947,Häusler,Max,1937 - 1988,,http://hls-dhs-dss.ch/de/articles/029947/2008-04-07/,,
58062,Weber-Röllin,Margrit,1937 -,,http://hls-dhs-dss.ch/de/articles/058062/2024-03-20/,,
4737,Kopp,Elisabeth,1936 - 2023,,http://hls-dhs-dss.ch/de/articles/004737/2023-05-11/,,
49167,Züfle,Manfred,1936 - 2007,,http://hls-dhs-dss.ch/de/articles/049167/2014-02-25/,,
27160,Mascioni,Grytzko,1936 - 2003,,http://hls-dhs-dss.ch/de/articles/027160/2009-10-29/,,
33739,Pini,Massimo,1936 - 2003,,http://hls-dhs-dss.ch/de/articles/033739/2020-02-06/,,
48018,Körner,Martin,1936 - 2002,,http://hls-dhs-dss.ch/de/articles/048018/2006-12-20/,,
45656,Flachsmann,Jean-Paul,1936 - 2001,,http://hls-dhs-dss.ch/de/articles/045656/2005-10-28/,,
47041,Lüdi,Werner,1936 - 2000,,http://hls-dhs-dss.ch/de/articles/047041/2008-07-16/,,
31816,Crippa,Michel,1936 - 1999,,http://hls-dhs-dss.ch/de/articles/031816/2004-03-17/,,
4736,Delamuraz,Jean-Pascal,1936 - 1998,,http://hls-dhs-dss.ch/de/articles/004736/2022-03-02/,,
44589,Mossu,Claude,1936 - 1998,,http://hls-dhs-dss.ch/de/articles/044589/2009-01-07/,,
34974,Métral,Pierre,1936 - 1996,,http://hls-dhs-dss.ch/de/articles/034974/2008-11-06/,,
46188,Tamás,János,1936 - 1995,,http://hls-dhs-dss.ch/de/articles/046188/2011-08-19/,,
33638,Luder,Paul,1936 - 1993,,http://hls-dhs-dss.ch/de/articles/033638/2005-08-12/,,
60088,Feldmann,Hildegard,1936 - 1990,,http://hls-dhs-dss.ch/de/articles/060088/2021-08-16/,,
20352,Hochuli,René,1936 - 1989,,http://hls-dhs-dss.ch/de/articles/020352/2006-11-06/,,
16393,Staub,Roger,1936 - 1974,,http://hls-dhs-dss.ch/de/articles/016393/2012-02-17/,,
12098,Matter,Mani,1936 - 1972,,http://hls-dhs-dss.ch/de/articles/012098/2010-02-11/,,
16391,Siffert,Jo,1936 - 1971,,http://hls-dhs-dss.ch/de/articles/016391/2015-07-31/,,
58081,Robert,Leni,1936 -,,http://hls-dhs-dss.ch/de/articles/058081/2024-03-20/,,
33459,Neukomm,Ernst,1935 - 2025,,http://hls-dhs-dss.ch/de/articles/033459/2025-06-02/,,
44807,Couchepin,François,1935 - 2023,,http://hls-dhs-dss.ch/de/articles/044807/2023-04-06/,,
48352,Gianadda,Léonard,1935 - 2023,,http://hls-dhs-dss.ch/de/articles/048352/2024-03-18/,,
33194,Inauen,Josef,1935 - 2022,,http://hls-dhs-dss.ch/de/articles/033194/2022-07-20/,,
27425,Steib,Katharina,1935 - 2022,,http://hls-dhs-dss.ch/de/articles/027425/2023-01-24/,,
6789,Weber,Karl,1935 - 2022,,http://hls-dhs-dss.ch/de/articles/006789/2022-09-26/,,
9580,Wyttenbach,Jürg,1935 - 2021,,http://hls-dhs-dss.ch/de/articles/009580/2022-06-02/,,
33941,Ziegler,Alberik,1935 - 2021,,http://hls-dhs-dss.ch/de/articles/033941/2021-10-25/,,
44852,Steiner,Jürg,1935 - 2020,,http://hls-dhs-dss.ch/de/articles/044852/2022-04-01/,,
32967,Muff,Erwin,1935 - 2019,,http://hls-dhs-dss.ch/de/articles/032967/2019-11-12/,,
34978,Ringger,Rolf Urs,1935 - 2019,,http://hls-dhs-dss.ch/de/articles/034978/2012-01-04/,,
9467,Dimitri,,1935 - 2016,,http://hls-dhs-dss.ch/de/articles/009467/2016-07-20/,,
28268,Schaller,Toni,1935 - 2016,,http://hls-dhs-dss.ch/de/articles/028268/2017-05-08/,,
9500,Joris,Charles,1935 - 2015,,http://hls-dhs-dss.ch/de/articles/009500/2015-05-21/,,
22757,Gassmann,Rita,1935 - 2014,,http://hls-dhs-dss.ch/de/articles/022757/2017-09-26/,,
33733,Hess,Otto,1935 - 2014,,http://hls-dhs-dss.ch/de/articles/033733/2020-12-11/,,
12256,Schindler,Regine,1935 - 2013,,http://hls-dhs-dss.ch/de/articles/012256/2014-03-12/,,
33304,Clerc,Denis,1935 - 2012,,http://hls-dhs-dss.ch/de/articles/033304/2012-12-13/,,
34951,Derungs,Gion Antoni,1935 - 2012,,http://hls-dhs-dss.ch/de/articles/034951/2015-11-18/,,
47620,Kristof,Agota,1935 - 2011,,http://hls-dhs-dss.ch/de/articles/047620/2011-07-28/,,
6660,Schmid,Hans,1935 - 2010,,http://hls-dhs-dss.ch/de/articles/006660/2011-08-16/,,
49057,Weber,Mäni,1935 - 2006,,http://hls-dhs-dss.ch/de/articles/049057/2012-11-19/,,
48638,Schwager,Raymund,1935 - 2004,,http://hls-dhs-dss.ch/de/articles/048638/2010-10-04/,,
43495,Rohr,Rudolf,1935 - 2001,,http://hls-dhs-dss.ch/de/articles/043495/2010-11-23/,,
48919,Sulser,Christian,1935 - 2001,,http://hls-dhs-dss.ch/de/articles/048919/2011-07-12/,,
34222,Coderey,Corinne,1935 - 1998,,http://hls-dhs-dss.ch/de/articles/034222/2024-07-02/,,
44585,Furger,Franz,1935 - 1997,,http://hls-dhs-dss.ch/de/articles/044585/2005-05-11/,,
35119,Jung,Werner,1935 - 1997,,http://hls-dhs-dss.ch/de/articles/035119/2005-06-14/,,
45088,Saladin,Peter,1935 - 1997,,http://hls-dhs-dss.ch/de/articles/045088/2012-01-06/,,
12197,Paretti,Sandra,1935 - 1994,,http://hls-dhs-dss.ch/de/articles/012197/2009-11-18/,,
25339,Casetti,Guido,1935 - 1993,,http://hls-dhs-dss.ch/de/articles/025339/2000-09-28/,,
5463,Schlegel,Florian,1935 - 1993,,http://hls-dhs-dss.ch/de/articles/005463/2011-08-09/,,
12022,Kauer,Walther,1935 - 1987,,http://hls-dhs-dss.ch/de/articles/012022/2006-03-15/,,
42120,Ratti,André,1935 - 1986,,http://hls-dhs-dss.ch/de/articles/042120/2019-10-28/,,
