office,name_de,name_fr
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O4,Eidgenössische Steuerverwaltung,Administration fédérale des contributions
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O40,Wettbewerbskommission,Commission de la concurrence
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O41,Rekurskommission UVEK,Commission de recours du DETEC
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O42,Rekurskommission EVD,Commission de recours du DFEP
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O43,Rekurskommission INUM,Commission de recours du INEN
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O44,Asyl-Rekurskommission,Commission de recours en matière d'asile
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O45,Eidgenössische Bankenkommission,Commission fédérale des banques
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O46,Eidgenössische Spielbankenkommission,Commission fédérale des maisons de jeu
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O47,Kommission für Technologie und Innovation,Commission pour la technologie et l'innovation
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O48,Schweizer Hochschulrat,Conseil des écoles
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O49,Finanzkontrolle,Contrôle des finances
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O5,Eidgenössische Zollverwaltung,Administration fédérale des douanes
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O50,Direktion der Militärverwaltung,Direction de l'administration militaire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O51,Direktion für Entwicklungszusammenarbeit und humanitäre Hilfe,Direction de la coopération au développement et de l'aide humanitaire
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O52,Direktion für Sicherheitspolitik,Direction de la politique de sécurité
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O53,Direktion der Bauten,Direction des constructions
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O54,Abteilung für Landwirtschaft,Division de l'agriculture
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O55,Justizabteilung,Division de la justice
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O56,Polizeiabteilung,Division de la police
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O57,Abteilung für Wissenschaft und Forschung,Division de la science et de la recherche
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O58,Abteilung für Ein- und Ausfuhr,Division des importations et des exportations
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O59,Handelsabteilung,Division du commerce
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O6,Agroscope,Agroscope
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O60,Abteilung Rechtswesen und Sekretariat,Division du contentieux et du secrétariat
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O61,Hauptabteilung für die Sicherheit der Kernanlagen,Division principale de la sécurité des installations nucléaires
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O62,Bereich der Eidgenössischen Technischen Hochschulen,Domaine des écoles polytechniques fédérales
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O63,Verteidigung,Défense
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O64,Delegierter für Konjunkturfragen und Arbeitsbeschaffung,Délégué aux questions conjoncturelles et aux possibilités de travail
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O65,Delegierter für Fragen der Atomenergie,Délégué aux questions d'énergie atomique
https://culture.ld.admin.ch/sfa/StateAccounts_Office/9/Office/O66,Delegierter für das Flüchtlingswesen,Délégué aux réfugiés
